0.975,-0.019,-0.074
155.943,-0.963,-0.020,-0.025
156.000,-0.969,-0.029,-0.088
156.056,-0.975,-0.022,-0.096
156.112,-0.970,-0.024,-0.077
156.170,-0.967,-0.027,-0.092
156.226,-0.969,-0.025,-0.060
156.282,-0.971,-0.025,-0.082
156.339,-0.965,-0.015,-0.100
156.396,-0.969,-0.019,-0.106
156.452,-0.977,-0.021,-0.065
156.509,-0.966,-0.029,-0.048
156.565,-0.972,-0.030,-0.106
156.621,-0.974,-0.017,-0.089
156.679,-0.969,-0.027,-0.055
156.735,-0.978,-0.029,-0.074
156.791,-0.972,-0.029,-0.096
156.849,-0.969,-0.016,-0.077
156.905,-0.966,-0.024,-0.110
156.961,-0.968,-0.013,-0.052
157.018,-0.971,-0.029,-0.074
157.074,-0.971,-0.025,-0.087
157.131,-0.970,-0.020,-0.103
157.188,-0.975,-0.026,-0.099
157.244,-0.971,-0.034,-0.080
157.300,-0.962,-0.029,-0.074
157.358,-0.968,-0.015,-0.106
157.414,-0.969,-0.016,-0.089
157.470,-0.967,-0.024,-0.089
157.527,-0.978,-0.025,-0.098
157.584,-0.977,-0.023,-0.098
157.640,-0.973,-0.023,-0.101
157.697,-0.971,-0.024,-0.066
157.753,-0.975,-0.026,-0.050
157.810,-0.968,-0.027,-0.080
157.867,-0.971,-0.023,-0.086
157.923,-0.972,-0.022,-0.104
157.979,-0.967,-0.025,-0.052
158.036,-0.971,-0.025,-0.095
158.093,-0.969,-0.026,-0.118
158.149,-0.971,-0.019,-0.066
158.205,-0.975,-0.022,-0.105
158.263,-0.972,-0.015,-0.057
158.319,-0.963,-0.024,-0.075
158.375,-0.979,-0.029,-0.096
158.432,-0.968,-0.021,-0.085
158.489,-0.973,-0.021,-0.058
158.545,-0.972,-0.024,-0.044
158.602,-0.961,-0.031,-0.088
158.658,-0.967,-0.022,-0.101
158.715,-0.973,-0.023,-0.082
158.772,-0.970,-0.017,-0.092
158.828,-0.968,-0.019,-0.071
158.884,-0.971,-0.028,-0.096
158.942,-0.965,-0.022,-0.083
158.998,-0.970,-0.011,-0.100
159.054,-0.968,-0.034,-0.061
159.111,-0.969,-0.026,-0.085
159.168,-0.973,-0.026,-0.117
159.224,-0.978,-0.020,-0.070
159.281,-0.975,-0.017,-0.098
159.337,-0.975,-0.014,-0.072
159.394,-0.971,-0.024,-0.076
159.451,-0.969,-0.021,-0.087
159.507,-0.976,-0.021,-0.081
159.563,-0.967,-0.018,-0.077
159.621,-0.969,-0.026,-0.081
159.677,-0.968,-0.029,-0.113
159.733,-0.970,-0.021,-0.082
159.790,-0.973,-0.018,-0.066
159.847,-0.972,-0.023,-0.087
159.903,-0.977,-0.021,-0.107
159.960,-0.969,-0.027,-0.119
160.016,-0.971,-0.015,-0.096
160.073,-0.966,-0.018,-0.086
160.130,-0.973,-0.023,-0.064
160.186,-0.973,-0.027,-0.099
160.242,-0.976,-0.026,-0.083
160.300,-0.970,-0.026,-0.083
160.356,-0.969,-0.018,-0.054
160.412,-0.967,-0.028,-0.065
160.468,-0.974,-0.025,-0.100
160.526,-0.976,-0.022,-0.087
160.582,-0.970,-0.021,-0.076
160.638,-0.978,-0.024,-0.045
160.695,-0.971,-0.019,-0.096
160.752,-0.967,-0.021,-0.103
160.808,-0.967,-0.033,-0.118
160.865,-0.969,-0.015,-0.055
160.921,-0.964,-0.021,-0.083
160.978,-0.960,-0.029,-0.058
161.035,-0.969,-0.028,-0.103
161.091,-0.978,-0.025,-0.081
161.147,-0.969,-0.020,-0.073
161.205,-0.963,-0.023,-0.105
161.261,-0.964,-0.024,-0.093
161.317,-0.970,-0.018,-0.079
161.374,-0.975,-0.013,-0.067
161.431,-0.974,-0.028,-0.079
161.487,-0.974,-0.027,-0.102
161.544,-0.972,-0.019,-0.058
161.600,-0.969,-0.026,-0.054
161.657,-0.974,-0.022,-0.069
161.714,-0.970,-0.029,-0.098
161.770,-0.969,-0.019,-0.080
161.826,-0.971,-0.028,-0.103
161.884,-0.966,-0.025,-0.052
161.940,-0.971,-0.028,-0.103
161.996,-0.968,-0.028,-0.075
162.053,-0.969,-0.024,-0.075
162.110,-0.976,-0.023,-0.113
162.166,-0.967,-0.022,-0.083
162.223,-0.973,-0.025,-0.076
162.279,-0.974,-0.024,-0.125
162.336,-0.981,-0.021,-0.109
162.393,-0.968,-0.023,-0.094
162.449,-0.973,-0.028,-0.092
162.505,-0.970,-0.022,-0.099
162.563,-0.969,-0.023,-0.089
162.619,-0.978,-0.022,-0.067
162.675,-0.963,-0.022,-0.064
162.732,-0.967,-0.019,-0.048
162.789,-0.969,-0.020,-0.097
162.845,-0.966,-0.025,-0.086
162.902,-0.975,-0.019,-0.100
162.958,-0.970,-0.023,-0.073
163.015,-0.969,-0.025,-0.058
163.072,-0.971,-0.030,-0.110
163.128,-0.971,-0.023,-0.099
163.184,-0.961,-0.019,-0.054
163.241,-0.968,-0.023,-0.091
163.298,-0.967,-0.028,-0.085
163.354,-0.964,-0.024,-0.093
163.410,-0.974,-0.017,-0.094
163.468,-0.972,-0.021,-0.084
163.524,-0.969,-0.028,-0.096
163.580,-0.970,-0.023,-0.091
163.637,-0.979,-0.021,-0.057
163.694,-0.963,-0.023,-0.112
163.750,-0.970,-0.023,-0.081
163.807,-0.965,-0.033,-0.112
163.863,-0.968,-0.020,-0.077
163.920,-0.975,-0.019,-0.104
163.977,-0.964,-0.017,-0.093
164.033,-0.967,-0.022,-0.072
164.089,-0.967,-0.031,-0.096
